path,clipdet_latent10k_plus,Corvi2023,fusion
real/real_RAISE_1k/r059cae86t.png,-2.7842815,-12.949144,-2.7842407
real/real_RAISE_1k/r06743f8ft.png,-2.0535748,-6.787136,-2.0437005
real/real_RAISE_1k/r16d6c35dt.png,-1.3060118,-8.5832815,-1.3051339
real/real_RAISE_1k/r1e251abet.png,-2.414435,-16.418,-2.4144342
real/real_RAISE_1k/r138ceafbt.png,-0.845809,-23.608042,-0.845809
real/real_RAISE_1k/r18fafe10t.png,-0.7961284,-11.725329,-0.7961024
real/real_RAISE_1k/r1c5a4928t.png,-1.1893921,-8.998915,-1.1888628
real/real_RAISE_1k/r129f24bet.png,-2.5610049,-13.648987,-2.5609884
real/real_RAISE_1k/r09f764ect.png,-1.942185,-14.574347,-1.9421812
real/real_RAISE_1k/r0dd60980t.png,-2.2188928,-18.610695,-2.2188926
real/real_RAISE_1k/r09efa609t.png,-2.6861956,-14.640646,-2.6861887
real/real_RAISE_1k/r11aa1ee3t.png,-1.594585,-13.412217,-1.5945761
real/real_RAISE_1k/r02b7536at.png,-1.877125,-19.058073,-1.8771249
real/real_RAISE_1k/r0bc87c20t.png,-2.5135248,-21.989307,-2.5135248
real/real_RAISE_1k/r097d3563t.png,-0.37873098,-27.092653,-0.37873095
real/real_RAISE_1k/r180a7062t.png,-3.231744,-10.486336,-3.2310095
real/real_RAISE_1k/r0adac68bt.png,-2.4216022,-14.126484,-2.4215934
real/real_RAISE_1k/r108301e3t.png,-2.128406,-31.913963,-2.128406
real/real_RAISE_1k/r0ed019a4t.png,-2.1964447,-17.66514,-2.1964447
real/real_RAISE_1k/r05f3bc6ct.png,-3.462683,-18.520288,-3.4626827
real/real_RAISE_1k/r165355c0t.png,-3.5276992,-18.891758,-3.5276992
real/real_RAISE_1k/r1a60a2bdt.png,-0.25525367,-22.185585,-0.25525373
real/real_RAISE_1k/r0250eb80t.png,-1.8973848,-8.126094,-1.8951195
real/real_RAISE_1k/r1be2a3d5t.png,-2.9515393,-18.292763,-2.951539
real/real_RAISE_1k/r1d00d8ect.png,-0.7059606,-3.5669646,-0.6239634
real/real_RAISE_1k/r1800ab47t.png,-0.8313527,-20.210142,-0.8313527
real/real_RAISE_1k/r0bf7f938t.png,-2.4507422,-20.633238,-2.4507422
real/real_RAISE_1k/r0c795771t.png,-1.2881724,-6.7794023,-1.2829264
real/real_RAISE_1k/r1372056ct.png,-1.8675277,-18.054047,-1.8675276
real/real_RAISE_1k/r138ad247t.png,-1.8759006,-29.618067,-1.8759006
real/real_RAISE_1k/r09696ba3t.png,-2.3228555,-15.121326,-2.3228524
real/real_RAISE_1k/r0438eb97t.png,-2.7449276,-19.053549,-2.7449276
real/real_RAISE_1k/r18ea00c8t.png,-1.55893,-10.678328,-1.5587976
real/real_RAISE_1k/r1d93553ct.png,-2.0991893,-12.61544,-2.0991588
real/real_RAISE_1k/r0191aaf4t.png,0.5916016,-11.509333,0.591617
real/real_RAISE_1k/r1dc4077at.png,-1.3626184,-18.53448,-1.3626182
real/real_RAISE_1k/r1e367d35t.png,-0.88822925,-8.972831,-0.8877942
real/real_RAISE_1k/r04108c64t.png,-1.8839235,-23.17204,-1.8839235
real/real_RAISE_1k/r1986e42bt.png,-1.3152788,-19.860413,-1.3152788
real/real_RAISE_1k/r07b99141t.png,-0.54801095,-3.7474005,-0.4856316
real/real_RAISE_1k/r08414c5at.png,-2.3925996,-12.870247,-2.392569
real/real_RAISE_1k/r006fcc20t.png,-0.60674787,-19.19571,-0.60674787
real/real_RAISE_1k/r00617aa1t.png,-1.061579,-11.408348,-1.0615357
real/real_RAISE_1k/r1b1c1019t.png,-1.0692638,-13.959467,-1.0692605
real/real_RAISE_1k/r031917act.png,-1.649544,-27.07404,-1.649544
real/real_RAISE_1k/r1344c943t.png,-1.6867957,-14.778875,-1.6867932
real/real_RAISE_1k/r13fccd2ft.png,-2.3723333,-16.686687,-2.3723328
real/real_RAISE_1k/r1dea56e5t.png,-1.0033345,-6.0780544,-0.99482536
